flowID,dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
139.162.192.40 57615 149.102.157.168 8888 TCP,8888,0x0002,0x0014,0,0.000008426,1024,0,0,119837.257142857,0,60,0,54,0,0,0,0,0,0,0,0,0,6471211.88571429,TCP,0,0,1,1,2,60,54,0,8.34465026855469E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 5432 TCP,5432,0x0002,0x0014,0,0.000007454,1024,0,0,135300.129032258,0,60,0,54,0,0,0,0,0,0,0,0,0,7306206.96774194,TCP,0,0,1,1,2,60,54,0,7.39097595214844E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 1723 TCP,1723,0x0002,0x0014,0,0.000003697,1024,0,0,279620.266666667,0,60,0,54,0,0,0,0,0,0,0,0,0,15099494.4,TCP,0,0,1,1,2,60,54,0,3.57627868652344E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 199 TCP,199,0x0002,0x0014,0,0.000009919,1024,0,0,99864.3809523809,0,60,0,54,0,0,0,0,0,0,0,0,0,5392676.57142857,TCP,0,0,1,1,2,60,54,0,1.00135803222656E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 111 TCP,111,0x0002,0x0014,0,0.000002234,1024,0,0,466033.777777778,0,60,0,54,0,0,0,0,0,0,0,0,0,25165824,TCP,0,0,1,1,2,60,54,0,2.14576721191406E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 995 TCP,995,0x0002,0x0014,0,0.000002084,1024,0,0,466033.777777778,0,60,0,54,0,0,0,0,0,0,0,0,0,25165824,TCP,0,0,1,1,2,60,54,0,2.14576721191406E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 9100 TCP,9100,0x0002,0x0014,0,0.000002255,1024,0,0,419430.4,0,60,0,54,0,0,0,0,0,0,0,0,0,22649241.6,TCP,0,0,1,1,2,60,54,0,2.38418579101562E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 21 TCP,21,0x0002,0x0014,0,0.000007545,1024,0,0,131072,0,60,0,54,0,0,0,0,0,0,0,0,0,7077888,TCP,0,0,1,1,2,60,54,0,7.62939453125E-06,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 3986 TCP,3986,0x0002,0x0014,0,0.000022211,1024,0,0,45100.0430107527,0,60,0,54,0,0,0,0,0,0,0,0,0,2435402.32258065,TCP,0,0,1,1,2,60,54,0,2.21729278564453E-05,60,0,0,54,0,0,0,1,0,0,0,0,0,0,0,0
139.162.192.40 57615 149.102.157.168 8000 TCP,8000,0x0004,0x0012,0.004530866,0.000011971,0,64240,440.254434764354,83886.08,0,60,0,58,0,0,0,0,0,0,0,0,26415.2660858612,4865392.64,TCP,0,0,2,1,3,120,58,0.00454282760620117,1.19209289550781E-05,60,0,0,58,0,0,1.19209289550781E-05,1,0,0,0,0,0,0,0,0
