dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
80,0x0010,0x0010,0,0.013696413,501,8,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,4818.77319964489,TCP,0,0,1,1,2,66,66,0,0.0136964321136475,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
3443,0x0002,0x0014,0,0.0000588,65535,0,0,0,0,60,0,54,0,0,0,0,0,0,0,0,0,916973.344129555,TCP,0,0,1,1,2,60,54,0,5.88893890380859E-05,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
4801,0x0004,0x0014,0.181496676,0.000068107,1200,0,11.0153505143538,0,0,60,0,54,0,0,0,0,0,0,0,0,660.921030861231,791931.524475524,TCP,0,0,2,1,3,120,54,0.181564807891846,6.81877136230469E-05,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,
68,0,0,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,UDP,1280,0,4,0,4,1448,0,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53579,0x0018,0x0018,0.012656836,0.000171039,4109,3085,0.511324071976172,0.523173352220021,0,127,0,2946,0.00224553793587522,0.000711347735357918,4.47817860901994E-05,3.495252952086E-05,0.00669046958266813,0.00591206643407024,262.693697850983,1015068.5746854,33.3813976902433,1266.17654343886,TCP,6974,2181623,1154,922,2076,75338,2231411,2256.88572716713,1762.32217502594,65.2842287694974,14.1471873778487,200.142910703961,2420.18546637744,1007.50611645061,1015068.5746854,0,0,1008,0,0,0,0,0,0,
443,0x0010,0x0010,0.000006833,0.000059681,501,272,446.927621939849,174.177237618006,0,105,0,66,0.000412504,0.001381755,5.12384696680571E-07,5.366614344991E-06,0.000669579427398647,0.00231659542108479,368.25,0,36536.3330935827,11495.6976827884,TCP,63,0,4,3,7,327,198,0.00894999504089356,0.0172238349914551,81.75,13.856406460551,192,66,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0011,0.000084909,0.000000801,975,582,792.312443919717,260.937165609058,0,105,0,66,0.0001718555,0.0016150795,4.95439826025714E-08,5.2117901511245E-06,0.000208208993026838,0.0022829345481473,368.25,0,64771.5422904368,17221.8529301978,TCP,63,0,4,2,6,327,132,0.00504851341247559,0.00766468048095703,81.75,13.856406460551,192,66,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0011,0.000124702,0.000000661,501,133,48.7382484436323,12.4748238884188,0,112,0,66,0.0002565155,0.039630181,1.52055519740857E-07,0.0031409977108608,0.000364758248396455,0.0560446046543358,531.583333333333,0,4154.93567981966,823.338376635641,TCP,77,0,4,2,6,341,132,0.08207106590271,0.160322904586792,85.25,17.8978583448784,320.333333333333,66,0,0,0,0,1,0,0,0,0,0,0,
443,0x0004,0x0004,0.000011782,0.00000016,0,0,218.348707910793,94.2116801437556,0,105,0,90,0.0002757636,0.0024364005,2.98175562313156E-07,1.7882444296395E-05,0.000518032823363385,0.00422876392062681,325.8,144,16114.1346438165,6500.60592991914,TCP,63,24,5,4,9,369,276,0.0228991508483887,0.0424575805664063,73.8,16.9705627484771,288,69,14.2828568570857,204,0,0,0,0,0,0,0,0,0,
